Parameter,N,Mean,SD,Median,Min,Max,Q1,Q3,IQR,Skewness,Kurtosis,Outliers_%,SW_p
"SimK_Astig (D, absolute)",2631,1.87,1.58,1.4,0.0,13.0,0.8,2.5,1.7,2.154,7.283,4.1,<0.0001
MaxK (D),2633,44.95,2.95,44.5,36.1,66.9,43.3,46.0,2.7,2.114,8.833,5.2,<0.0001
MinK (D),2633,43.07,2.24,42.9,35.1,59.5,41.8,44.2,2.4,1.113,5.283,3.3,<0.0001
Zone3mm_Irreg (D),2619,1.87,1.39,1.4,0.5,12.9,1.1,2.0,0.9,3.029,11.989,10.3,<0.0001
Zone3mm_MeanPwr (D),2552,48.89,2.44,48.7,40.0,64.3,47.5,50.1,2.6,0.986,3.968,3.7,<0.0001
Zone3mm_AstigPwr (D),2608,1.85,1.4,1.5,0.0,12.1,0.8,2.5,1.7,1.639,4.393,3.2,<0.0001
Zone3mm_SteepAxis (deg),2617,91.54,31.65,92.0,0.0,180.0,81.0,105.0,24.0,-0.213,1.352,14.7,<0.0001
Zone3mm_FlatAxis (deg),2592,83.66,71.29,67.0,1.0,180.0,12.0,167.0,155.0,0.188,-1.714,0.0,<0.0001
Zone5mm_Irreg (D),2570,2.36,1.66,1.8,0.7,13.3,1.4,2.5,1.1,2.654,8.343,11.3,<0.0001
Zone5mm_MeanPwr (D),2575,48.35,2.05,48.2,40.5,60.6,47.1,49.6,2.5,0.465,1.886,2.3,<0.0001
Zone5mm_AstigPwr (D),2622,1.66,1.15,1.4,0.1,9.6,0.8,2.3,1.5,1.307,2.625,2.4,<0.0001
Zone5mm_SteepAxis (deg),2620,92.28,30.56,92.0,0.0,180.0,81.0,104.0,23.0,-0.119,1.693,14.3,<0.0001
Zone5mm_FlatAxis (deg),2569,83.96,71.6,63.0,1.0,180.0,13.0,166.0,153.0,0.18,-1.75,0.0,<0.0001
WhiteToWhite (mm),2633,11.73,0.4,11.7,10.2,13.4,11.5,12.0,0.5,0.172,0.748,1.9,<0.0001
PupilDiameter (mm),2633,4.42,0.81,4.4,1.7,8.4,3.9,4.9,1.0,0.721,1.802,1.8,<0.0001
Thinnest (µm),2633,520.19,56.01,528.0,230.0,665.0,493.0,558.0,65.0,-1.006,1.696,3.9,<0.0001
ACD_Ep (mm),2633,3.66,0.36,3.68,2.25,5.82,3.45,3.89,0.44,-0.018,1.648,2.5,<0.0001
Kappa (°),2633,5.49,1.48,5.49,0.11,16.88,4.53,6.4,1.87,0.332,2.345,1.6,<0.0001
KappaIntercept_x (mm),2631,-0.16,0.49,-0.21,-1.8,1.81,-0.54,0.23,0.77,0.207,-0.569,0.1,<0.0001
